customer_city,marital_status,gender,num_children_at_home,income,age,store_type,highOrLow,education,member_card,occupation,homeowner
Lynnwood,M,F,4,80000,86,No Store,0,Partial High School,Golden,Professional,Y
Olympia,S,F,0,20000,57,No Store,0,Partial High School,Golden,Skilled Manual,N
Ballard,M,F,1,40000,78,No Store,0,High School Degree,Bronze,Skilled Manual,Y
Puyallup,M,M,0,40000,65,No Store,0,High School Degree,Bronze,Manual,N
Tacoma,S,M,0,140000,37,Deluxe Supermarket,0,Partial College,Bronze,Professional,Y
Renton,M,M,0,80000,69,No Store,0,Graduate Degree,Bronze,Professional,Y
Yakima,S,M,0,20000,37,Mid-Size Grocery,0,Partial High School,Normal,Manual,Y
Seattle,S,M,0,80000,60,Supermarket,0,Graduate Degree,Bronze,Professional,Y
Tacoma,M,F,0,40000,52,Deluxe Supermarket,0,High School Degree,Bronze,Manual,Y
Burien,M,F,0,40000,36,No Store,0,High School Degree,Bronze,Skilled Manual,Y
Issaquah,M,F,0,40000,26,No Store,0,Partial College,Bronze,Skilled Manual,Y
Ballard,M,M,4,60000,71,No Store,0,Bachelors Degree,Golden,Management,N
Lynnwood,M,M,0,60000,36,No Store,0,Bachelors Degree,Bronze,Professional,Y
Marysville,S,M,0,20000,48,No Store,0,Partial High School,Normal,Manual,N
Marysville,S,F,0,40000,84,No Store,0,High School Degree,Bronze,Manual,N
Spokane,M,F,2,20000,59,Supermarket,1,High School Degree,Normal,Manual,N
Marysville,S,M,0,100000,35,No Store,0,Graduate Degree,Normal,Professional,Y
Redmond,M,M,1,60000,57,No Store,0,Bachelors Degree,Bronze,Professional,Y
Anacortes,S,F,0,60000,39,No Store,0,Partial College,Bronze,Skilled Manual,N
Yakima,S,F,0,60000,74,Mid-Size Grocery,0,Bachelors Degree,Bronze,Management,N
Marysville,S,M,0,120000,26,No Store,0,Partial High School,Bronze,Management,Y
Issaquah,S,F,0,60000,83,No Store,0,Bachelors Degree,Silver,Professional,Y
Edmonds,S,M,0,60000,37,No Store,0,Bachelors Degree,Bronze,Professional,N
Walla Walla,S,M,0,20000,78,Small Grocery,0,Partial High School,Normal,Manual,N
Yakima,S,F,0,140000,79,Mid-Size Grocery,0,Partial College,Golden,Professional,Y
Issaquah,S,M,0,40000,83,No Store,0,High School Degree,Bronze,Manual,N
Bremerton,S,F,0,60000,27,Supermarket,0,Bachelors Degree,Bronze,Management,N
Bellingham,M,M,3,40000,49,Small Grocery,0,High School Degree,Silver,Manual,Y
Puyallup,M,M,1,40000,49,No Store,0,Partial College,Bronze,Professional,Y
Yakima,M,M,4,40000,44,Mid-Size Grocery,0,High School Degree,Golden,Skilled Manual,N
Seattle,S,F,0,40000,28,Supermarket,0,High School Degree,Silver,Manual,N
Sedro Woolley,M,F,4,140000,20,No Store,0,Partial High School,Golden,Management,Y
Puyallup,S,F,0,60000,63,No Store,0,Bachelors Degree,Bronze,Professional,Y
Walla Walla,M,F,2,120000,33,Small Grocery,0,High School Degree,Normal,Professional,Y
Tacoma,M,M,2,80000,60,Deluxe Supermarket,0,Bachelors Degree,Bronze,Professional,Y
Puyallup,S,F,0,20000,34,No Store,0,High School Degree,Normal,Manual,N
Burien,M,M,0,80000,36,No Store,0,Bachelors Degree,Silver,Professional,Y
Seattle,S,F,0,20000,19,Supermarket,0,Partial High School,Normal,Skilled Manual,N
Edmonds,M,M,4,80000,82,No Store,0,Bachelors Degree,Golden,Management,Y
Olympia,S,M,0,100000,39,No Store,0,High School Degree,Bronze,Professional,N
Kirkland,M,M,2,40000,37,No Store,0,High School Degree,Bronze,Manual,N
Bremerton,M,M,1,40000,45,Supermarket,0,High School Degree,Bronze,Skilled Manual,Y
Spokane,S,F,0,60000,78,Supermarket,1,Bachelors Degree,Bronze,Management,Y
Redmond,M,F,1,20000,38,No Store,0,Partial High School,Normal,Manual,N
Everett,M,M,1,40000,37,No Store,0,High School Degree,Bronze,Skilled Manual,Y
Kirkland,M,M,1,20000,66,No Store,0,Partial High School,Normal,Skilled Manual,Y
Kirkland,M,F,1,40000,58,No Store,0,Bachelors Degree,Silver,Professional,N
Tacoma,M,F,2,40000,51,Deluxe Supermarket,0,Partial High School,Bronze,Manual,Y
Walla Walla,S,M,0,60000,50,Small Grocery,0,Bachelors Degree,Bronze,Management,Y
Issaquah,S,F,0,40000,39,No Store,0,High School Degree,Bronze,Manual,Y
Marysville,M,F,0,60000,80,No Store,0,Bachelors Degree,Golden,Professional,N
Burien,S,F,0,40000,68,No Store,0,High School Degree,Bronze,Manual,Y
Anacortes,S,M,0,120000,28,No Store,0,Bachelors Degree,Bronze,Professional,Y
Yakima,M,M,3,60000,67,Mid-Size Grocery,0,Bachelors Degree,Silver,Management,Y
Ballard,M,F,4,80000,87,No Store,0,Bachelors Degree,Golden,Professional,Y
Issaquah,M,F,3,40000,56,No Store,0,High School Degree,Golden,Skilled Manual,Y
Bremerton,S,F,0,100000,38,Supermarket,0,Bachelors Degree,Bronze,Management,Y
Bremerton,S,F,0,40000,46,Supermarket,1,High School Degree,Bronze,Skilled Manual,N
Edmonds,S,M,0,20000,47,No Store,0,Partial High School,Normal,Skilled Manual,N
Walla Walla,S,M,0,80000,76,Small Grocery,0,Bachelors Degree,Bronze,Professional,Y
Port Orchard,S,F,0,150000,28,No Store,1,Bachelors Degree,Silver,Management,Y
Burien,M,M,1,40000,20,No Store,0,High School Degree,Bronze,Skilled Manual,Y
Kirkland,S,M,0,40000,20,No Store,0,Partial College,Bronze,Clerical,N
Spokane,S,F,0,40000,42,Supermarket,1,High School Degree,Bronze,Skilled Manual,N
Puyallup,S,F,0,20000,19,No Store,0,Bachelors Degree,Normal,Professional,N
Renton,S,M,0,60000,23,No Store,0,Bachelors Degree,Bronze,Professional,N
Redmond,M,M,1,40000,21,No Store,0,Partial College,Bronze,Professional,Y
Ballard,M,F,2,120000,66,No Store,0,High School Degree,Golden,Management,Y
Olympia,M,M,3,60000,51,No Store,0,Bachelors Degree,Golden,Professional,Y
Redmond,S,M,0,20000,35,No Store,0,Partial High School,Normal,Manual,N
Seattle,S,F,0,40000,50,Supermarket,0,Partial College,Bronze,Skilled Manual,Y
Lynnwood,M,M,1,100000,59,No Store,0,Graduate Degree,Bronze,Management,Y
Olympia,M,M,2,40000,50,No Store,0,High School Degree,Bronze,Skilled Manual,Y
Burien,S,M,0,80000,81,No Store,0,Bachelors Degree,Bronze,Professional,N
Tacoma,S,F,0,40000,30,Deluxe Supermarket,0,Bachelors Degree,Bronze,Professional,Y
Edmonds,M,F,2,20000,38,No Store,0,Partial High School,Normal,Skilled Manual,N
Redmond,M,F,0,60000,45,No Store,0,High School Degree,Bronze,Skilled Manual,Y
Marysville,M,M,1,40000,28,No Store,0,High School Degree,Bronze,Manual,Y
Kirkland,M,M,0,20000,27,No Store,0,Partial High School,Normal,Manual,N
Everett,S,F,0,20000,46,No Store,0,Partial High School,Normal,Skilled Manual,N
Burien,M,F,2,60000,54,No Store,0,Bachelors Degree,Bronze,Professional,Y
Marysville,S,F,0,40000,80,No Store,0,Partial College,Bronze,Skilled Manual,Y
Anacortes,M,F,2,80000,30,No Store,0,Graduate Degree,Bronze,Professional,Y
Tacoma,M,M,0,80000,41,Deluxe Supermarket,0,Bachelors Degree,Bronze,Professional,N
Port Orchard,S,F,0,20000,21,No Store,0,Partial High School,Normal,Skilled Manual,N
Issaquah,M,M,4,80000,50,No Store,0,Graduate Degree,Silver,Management,Y
Bremerton,S,M,0,60000,68,Supermarket,0,Bachelors Degree,Bronze,Management,Y
Redmond,S,M,0,40000,72,No Store,0,Partial College,Bronze,Manual,N
Yakima,S,M,0,80000,38,Mid-Size Grocery,0,Bachelors Degree,Bronze,Management,Y
Lynnwood,S,F,0,40000,74,No Store,0,Partial College,Silver,Professional,Y
Port Orchard,M,M,0,40000,26,No Store,1,High School Degree,Bronze,Skilled Manual,Y
Burien,S,F,0,20000,79,No Store,0,Partial High School,Normal,Skilled Manual,Y
Kirkland,M,F,4,60000,79,No Store,0,Partial High School,Golden,Skilled Manual,Y
Puyallup,M,F,0,60000,78,No Store,0,Bachelors Degree,Silver,Professional,Y
Redmond,S,F,0,60000,38,No Store,0,Bachelors Degree,Normal,Professional,N
Burien,S,F,0,40000,40,No Store,0,Partial High School,Bronze,Manual,N
Ballard,M,M,0,20000,63,No Store,0,Partial High School,Normal,Skilled Manual,Y
Spokane,M,F,1,80000,48,Supermarket,1,Bachelors Degree,Silver,Professional,Y
Seattle,S,F,0,140000,25,Supermarket,0,High School Degree,Bronze,Management,Y
Seattle,M,F,3,100000,76,Supermarket,0,High School Degree,Golden,Professional,Y
Renton,M,M,0,40000,38,No Store,0,Partial College,Bronze,Professional,Y
Lynnwood,M,F,1,80000,78,No Store,0,Bachelors Degree,Bronze,Professional,Y
Ballard,S,M,0,100000,87,No Store,0,Partial High School,Bronze,Professional,Y
Port Orchard,S,F,0,140000,83,No Store,1,Graduate Degree,Bronze,Management,Y
Tacoma,M,M,3,40000,53,Deluxe Supermarket,0,Partial High School,Silver,Skilled Manual,Y
Puyallup,M,F,1,40000,25,No Store,1,High School Degree,Bronze,Skilled Manual,Y
Bremerton,S,M,0,20000,29,Supermarket,0,Bachelors Degree,Normal,Management,Y
Marysville,M,F,0,20000,67,No Store,0,Partial High School,Normal,Manual,Y
Tacoma,M,F,0,60000,77,Deluxe Supermarket,0,Bachelors Degree,Bronze,Professional,Y
Lynnwood,S,F,0,60000,69,No Store,0,Partial High School,Bronze,Skilled Manual,Y
Marysville,S,M,0,60000,35,No Store,0,Bachelors Degree,Bronze,Professional,Y
Port Orchard,S,F,0,40000,87,No Store,1,Bachelors Degree,Bronze,Professional,N
Sedro Woolley,M,F,4,60000,20,No Store,0,Partial College,Bronze,Clerical,Y
Lynnwood,M,F,3,40000,80,No Store,0,High School Degree,Golden,Manual,N
Kirkland,S,M,0,20000,81,No Store,0,Partial High School,Normal,Manual,N
Burien,M,F,0,100000,74,No Store,0,High School Degree,Bronze,Professional,Y
Yakima,S,M,0,100000,81,Mid-Size Grocery,0,High School Degree,Bronze,Professional,Y
Ballard,S,F,0,60000,39,No Store,0,Partial College,Bronze,Clerical,Y
Lynnwood,M,F,0,80000,21,No Store,0,High School Degree,Bronze,Professional,N
Renton,S,F,0,60000,27,No Store,0,Bachelors Degree,Bronze,Professional,N
Walla Walla,S,M,0,40000,51,Small Grocery,0,High School Degree,Bronze,Skilled Manual,N
Issaquah,M,M,1,20000,31,No Store,0,Bachelors Degree,Normal,Professional,Y
Walla Walla,S,F,0,20000,24,Small Grocery,0,Partial High School,Normal,Manual,N
Ballard,S,M,0,60000,87,No Store,0,Bachelors Degree,Bronze,Management,Y
Ballard,S,F,0,40000,62,No Store,0,High School Degree,Bronze,Manual,Y
Port Orchard,S,M,0,80000,80,No Store,1,High School Degree,Normal,Management,Y
Renton,S,M,0,40000,48,No Store,0,High School Degree,Bronze,Manual,Y
Redmond,S,M,0,60000,24,No Store,0,Bachelors Degree,Bronze,Professional,Y
Redmond,S,M,0,60000,63,No Store,0,Bachelors Degree,Bronze,Professional,N
Walla Walla,M,M,1,80000,47,Small Grocery,0,Bachelors Degree,Bronze,Management,Y
Puyallup,S,F,0,20000,84,No Store,0,Partial High School,Normal,Skilled Manual,N
Lynnwood,M,F,1,80000,69,No Store,0,Bachelors Degree,Bronze,Professional,N
Redmond,S,F,0,80000,30,No Store,0,Bachelors Degree,Bronze,Professional,Y
Seattle,S,M,0,80000,35,Supermarket,0,Bachelors Degree,Bronze,Management,N
Puyallup,M,F,1,40000,60,No Store,1,Partial College,Bronze,Professional,Y
Renton,M,M,2,140000,60,No Store,0,High School Degree,Bronze,Management,N
Tacoma,M,M,3,20000,54,Deluxe Supermarket,1,Partial High School,Normal,Skilled Manual,N
Olympia,M,M,4,20000,57,No Store,0,Partial High School,Normal,Manual,Y
Yakima,S,M,0,60000,86,Mid-Size Grocery,1,Bachelors Degree,Bronze,Management,N
Tacoma,S,M,0,80000,62,Deluxe Supermarket,0,Bachelors Degree,Bronze,Management,N
Redmond,M,F,1,140000,77,No Store,0,High School Degree,Bronze,Professional,Y
Everett,M,M,0,60000,35,No Store,0,High School Degree,Golden,Skilled Manual,Y
Marysville,M,F,2,60000,52,No Store,0,Bachelors Degree,Bronze,Professional,Y
Puyallup,S,F,0,40000,67,No Store,0,Partial College,Bronze,Management,Y
Kirkland,S,F,0,40000,78,No Store,0,High School Degree,Bronze,Skilled Manual,N
Kirkland,M,M,4,60000,52,No Store,0,Bachelors Degree,Golden,Professional,Y
Bellingham,M,F,2,140000,52,Small Grocery,0,Partial High School,Bronze,Professional,Y
Anacortes,S,M,0,100000,48,No Store,0,Partial High School,Bronze,Professional,Y
Issaquah,M,M,1,80000,26,No Store,0,Bachelors Degree,Bronze,Management,N
Bremerton,M,F,4,80000,28,Supermarket,1,Graduate Degree,Silver,Management,Y
Bremerton,S,F,0,40000,79,Supermarket,1,Partial College,Bronze,Clerical,N
Edmonds,M,M,5,80000,49,No Store,0,High School Degree,Golden,Professional,Y
Yakima,M,M,4,40000,39,Mid-Size Grocery,0,High School Degree,Golden,Manual,Y
Lynnwood,S,F,0,40000,38,No Store,0,High School Degree,Bronze,Skilled Manual,Y
Spokane,S,M,0,40000,37,Supermarket,1,High School Degree,Bronze,Manual,N
Puyallup,S,F,0,40000,44,No Store,0,High School Degree,Bronze,Manual,Y
Renton,S,M,0,20000,80,No Store,0,Partial High School,Normal,Skilled Manual,N
Lynnwood,M,M,2,60000,33,No Store,0,High School Degree,Bronze,Skilled Manual,Y
Spokane,M,F,1,20000,43,Supermarket,1,Partial High School,Normal,Skilled Manual,Y
Bremerton,S,F,0,40000,34,Supermarket,0,High School Degree,Silver,Manual,N
Seattle,M,M,3,60000,34,Supermarket,0,Bachelors Degree,Golden,Management,Y
Puyallup,S,M,0,140000,69,No Store,1,Partial High School,Bronze,Professional,Y
Renton,S,F,0,20000,26,No Store,0,Partial High School,Normal,Skilled Manual,N
Tacoma,M,M,1,60000,48,Deluxe Supermarket,0,Bachelors Degree,Normal,Professional,N
Puyallup,S,M,0,80000,36,No Store,0,Bachelors Degree,Bronze,Professional,Y
Burien,S,F,0,20000,78,No Store,0,Partial High School,Normal,Manual,N
Port Orchard,M,M,3,40000,58,No Store,1,High School Degree,Golden,Manual,N
Tacoma,M,F,4,40000,35,Deluxe Supermarket,0,Partial High School,Golden,Manual,Y
Edmonds,S,F,0,80000,73,No Store,0,Bachelors Degree,Bronze,Professional,N
Tacoma,S,M,0,60000,47,Deluxe Supermarket,1,Bachelors Degree,Bronze,Management,N
Marysville,S,M,0,20000,79,No Store,0,Partial High School,Normal,Skilled Manual,Y
Everett,M,F,2,20000,46,No Store,0,Partial High School,Normal,Skilled Manual,N
Burien,M,F,2,40000,45,No Store,0,Partial College,Bronze,Clerical,Y
Lynnwood,S,F,0,40000,75,No Store,0,High School Degree,Bronze,Manual,Y
Sedro Woolley,M,M,1,40000,45,No Store,0,High School Degree,Bronze,Skilled Manual,Y
Everett,S,M,0,140000,58,No Store,0,Bachelors Degree,Bronze,Professional,Y
Seattle,M,M,2,40000,85,Supermarket,0,Partial High School,Bronze,Manual,Y
Spokane,S,M,0,60000,80,Supermarket,1,Bachelors Degree,Bronze,Professional,N
Anacortes,S,F,0,100000,27,No Store,0,Partial College,Bronze,Professional,Y
Port Orchard,S,M,0,40000,38,No Store,1,Partial High School,Golden,Skilled Manual,Y
Bremerton,M,F,1,40000,69,Supermarket,0,Partial High School,Bronze,Skilled Manual,Y
Edmonds,M,M,0,60000,45,No Store,0,Bachelors Degree,Bronze,Management,N
Yakima,S,F,0,60000,42,Mid-Size Grocery,0,Bachelors Degree,Bronze,Management,N
Issaquah,M,M,5,80000,65,No Store,0,Bachelors Degree,Golden,Professional,Y
Bremerton,M,M,1,20000,41,Supermarket,0,Partial High School,Golden,Manual,N
Ballard,S,M,0,40000,53,No Store,0,High School Degree,Bronze,Skilled Manual,N
Burien,S,M,0,60000,19,No Store,0,Bachelors Degree,Bronze,Professional,Y
Puyallup,M,M,4,40000,28,No Store,0,High School Degree,Golden,Manual,N
Redmond,S,M,0,20000,26,No Store,0,Partial High School,Normal,Skilled Manual,Y
Burien,S,F,0,140000,41,No Store,0,High School Degree,Bronze,Professional,Y
Everett,M,F,1,60000,63,No Store,0,Bachelors Degree,Bronze,Professional,Y
Spokane,M,F,0,140000,83,Supermarket,1,Partial College,Golden,Professional,Y
Issaquah,M,F,2,80000,74,No Store,0,Partial High School,Bronze,Management,N
Olympia,M,F,2,40000,46,No Store,0,High School Degree,Bronze,Manual,Y
Renton,M,F,1,40000,87,No Store,0,Partial High School,Bronze,Manual,Y
Sedro Woolley,S,F,0,40000,82,No Store,0,Partial College,Bronze,Management,N
Seattle,M,M,1,60000,82,Supermarket,0,Bachelors Degree,Bronze,Management,N
Walla Walla,S,M,0,60000,39,Small Grocery,0,High School Degree,Golden,Skilled Manual,N
Spokane,M,F,3,40000,29,Supermarket,1,High School Degree,Golden,Skilled Manual,N
Port Orchard,M,M,3,40000,78,No Store,0,Partial College,Golden,Clerical,Y
Lynnwood,M,M,3,20000,82,No Store,0,Partial High School,Normal,Skilled Manual,Y
Issaquah,S,F,0,100000,65,No Store,0,High School Degree,Bronze,Management,Y
Everett,M,M,0,60000,72,No Store,0,Partial College,Bronze,Professional,Y
Bremerton,M,F,2,40000,32,Supermarket,1,High School Degree,Bronze,Manual,N
Olympia,M,F,3,60000,43,No Store,0,Bachelors Degree,Golden,Professional,Y
Spokane,M,M,1,60000,35,Supermarket,1,Bachelors Degree,Bronze,Professional,Y
Everett,M,F,4,120000,77,No Store,0,High School Degree,Normal,Professional,Y
Edmonds,S,F,0,20000,82,No Store,0,Partial High School,Normal,Skilled Manual,N
Redmond,M,F,1,120000,50,No Store,0,High School Degree,Bronze,Professional,N
Bellingham,S,F,0,40000,43,Small Grocery,0,Partial College,Bronze,Professional,Y
Redmond,M,M,0,40000,51,No Store,0,High School Degree,Normal,Skilled Manual,Y
Port Orchard,M,M,0,20000,34,No Store,0,Partial High School,Normal,Manual,Y
Sedro Woolley,M,F,0,60000,66,No Store,0,Bachelors Degree,Bronze,Professional,Y
Olympia,M,F,0,60000,43,No Store,0,Bachelors Degree,Bronze,Professional,Y
Bremerton,S,F,0,40000,59,Supermarket,1,Partial College,Bronze,Professional,Y
Tacoma,S,F,0,40000,47,Deluxe Supermarket,0,Partial College,Bronze,Professional,N
Bremerton,M,M,1,80000,25,Supermarket,0,Bachelors Degree,Bronze,Professional,Y
Bellingham,S,F,0,150000,81,Small Grocery,0,High School Degree,Silver,Professional,Y
Everett,M,M,2,100000,48,No Store,0,High School Degree,Bronze,Professional,N
Bremerton,S,M,0,20000,76,Supermarket,0,Partial High School,Normal,Manual,N
Bremerton,M,F,1,20000,51,Supermarket,0,Partial High School,Normal,Skilled Manual,Y
Kirkland,S,F,0,20000,55,No Store,0,Partial High School,Normal,Manual,N
Edmonds,M,F,5,40000,27,No Store,0,High School Degree,Normal,Manual,Y
Kirkland,M,F,3,40000,38,No Store,0,High School Degree,Golden,Manual,Y
Lynnwood,S,M,0,80000,56,No Store,0,Bachelors Degree,Bronze,Professional,N
Marysville,S,M,0,40000,82,No Store,0,High School Degree,Bronze,Manual,N
Renton,S,F,0,40000,79,No Store,0,High School Degree,Bronze,Manual,N
Ballard,M,F,0,40000,81,No Store,0,High School Degree,Bronze,Manual,Y
Burien,S,M,0,140000,80,No Store,0,High School Degree,Bronze,Professional,Y
Bremerton,M,M,1,40000,21,Supermarket,0,High School Degree,Bronze,Manual,N
Ballard,M,M,3,60000,40,No Store,0,Partial High School,Golden,Skilled Manual,Y
Bellingham,S,F,0,20000,30,Small Grocery,0,Partial High School,Normal,Manual,Y
Edmonds,M,M,0,150000,32,No Store,0,Bachelors Degree,Silver,Professional,N
Redmond,M,M,0,40000,21,No Store,0,Partial College,Bronze,Skilled Manual,Y
Spokane,M,M,2,150000,75,Supermarket,0,Partial High School,Golden,Professional,N
Walla Walla,S,M,0,140000,81,Small Grocery,0,Partial High School,Normal,Professional,Y
Seattle,S,M,0,40000,49,Supermarket,0,Partial High School,Silver,Skilled Manual,Y
Renton,M,F,1,40000,75,No Store,0,High School Degree,Bronze,Skilled Manual,N
Bellingham,M,F,3,60000,37,Small Grocery,0,Bachelors Degree,Golden,Professional,Y
Seattle,S,M,0,20000,36,Supermarket,0,High School Degree,Normal,Manual,N
Spokane,S,F,0,40000,76,Supermarket,1,High School Degree,Bronze,Manual,N
Lynnwood,S,F,0,140000,76,No Store,0,Graduate Degree,Bronze,Professional,Y
Sedro Woolley,S,F,0,40000,24,No Store,0,High School Degree,Bronze,Skilled Manual,N
Tacoma,M,M,3,40000,72,Deluxe Supermarket,1,High School Degree,Golden,Skilled Manual,N
Burien,M,F,3,80000,70,No Store,0,Partial High School,Golden,Management,N
Port Orchard,S,F,0,40000,73,No Store,0,Partial High School,Bronze,Skilled Manual,Y
Walla Walla,S,M,0,120000,78,Small Grocery,0,Bachelors Degree,Bronze,Professional,Y
Marysville,S,F,0,40000,60,No Store,0,High School Degree,Bronze,Skilled Manual,N
Bellingham,S,M,0,40000,80,Small Grocery,0,High School Degree,Bronze,Skilled Manual,Y
Bremerton,S,F,0,80000,59,Supermarket,0,High School Degree,Bronze,Professional,N
Sedro Woolley,S,F,0,40000,34,No Store,0,Bachelors Degree,Golden,Professional,N
Port Orchard,S,M,0,20000,19,No Store,0,Partial High School,Normal,Skilled Manual,N
Yakima,M,F,0,60000,55,Mid-Size Grocery,0,Bachelors Degree,Bronze,Management,Y
Marysville,M,F,0,20000,28,No Store,0,Partial High School,Normal,Skilled Manual,Y
Bellingham,M,F,0,60000,66,Small Grocery,0,Bachelors Degree,Golden,Professional,Y
Olympia,S,F,0,40000,80,No Store,1,Partial High School,Bronze,Manual,Y
Yakima,M,M,5,40000,68,Mid-Size Grocery,0,High School Degree,Golden,Skilled Manual,Y
Lynnwood,M,M,4,40000,35,No Store,0,Partial High School,Golden,Manual,N
Yakima,S,F,0,20000,20,Mid-Size Grocery,0,Partial High School,Normal,Manual,N
Renton,S,F,0,20000,74,No Store,0,Partial High School,Normal,Manual,N
Ballard,M,M,1,60000,66,No Store,0,Partial High School,Bronze,Manual,Y
Ballard,M,F,2,100000,79,No Store,0,Bachelors Degree,Bronze,Professional,N
Port Orchard,M,M,1,40000,87,No Store,0,Partial College,Bronze,Skilled Manual,Y
Spokane,S,M,0,140000,56,Supermarket,1,Bachelors Degree,Bronze,Professional,Y
Sedro Woolley,S,M,0,20000,49,No Store,0,Partial High School,Silver,Skilled Manual,N
Everett,M,F,2,60000,25,No Store,0,High School Degree,Silver,Manual,Y
Puyallup,S,F,0,40000,59,No Store,0,High School Degree,Silver,Skilled Manual,N
